ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
4630,Tamil Nadu,Dindigul,RAJENDHRAN. R,Independent,7580
4631,Tamil Nadu,Dindigul,MANIVANNAN N,Independent,5859
4632,Tamil Nadu,Dindigul,VENKATESAN G,Independent,3588
4633,Tamil Nadu,Dindigul,ELANCHEZHIAN.S,Aam Aadmi Party,3395
4634,Tamil Nadu,Dindigul,PAULDURAI V K,Independent,2604
4635,Tamil Nadu,Dindigul,BAGATSINGH PALANICHAMY M,Bahujan Samaj Party,1903
4636,Tamil Nadu,Dindigul,CHANDRAMOHAN P,Independent,1261
4637,Tamil Nadu,Dindigul,NAGARAJAN V,Independent,1202
4638,Tamil Nadu,Dindigul,DHANDAPANI.K,Independent,863
4639,Tamil Nadu,Dindigul,THANGAPANDIAN.R,Independent,786
4640,Tamil Nadu,Dindigul,KUPPURAJ C,Independent,627
4641,Tamil Nadu,Dindigul,SUDHARSHNAR.K,Independent,592
4642,Tamil Nadu,Dindigul,BALASUBRAMANI.R,Ulzaipali Makkal Katchy,553
4643,Tamil Nadu,Dindigul,None of the Above,None of the Above,10591
4644,Andhra Pradesh,Anantapur,J.C. DIVAKAR REDDI,Telugu Desam,606509
4645,Andhra Pradesh,Anantapur,ANANTHA VENKATARAMIREDDY,Yuvajana Sramika Rythu Congress Party,545240
4646,Andhra Pradesh,Anantapur,ANIL CHOWDARY. P,Indian National Congress,16659
4647,Andhra Pradesh,Anantapur,T.KULDEEP CHOWDARY,Samaikya Telugu Rajyam,6517
4648,Andhra Pradesh,Anantapur,KASANI NAGARAJU,Bahujan Samaj Party,6201
4649,Andhra Pradesh,Anantapur,SHAIK. MOHAMMAD SHAFI.,Independent,3018
4650,Andhra Pradesh,Anantapur,BOYA ANIL KUMAR,Jai Samaikyandhra Party,2779
4651,Andhra Pradesh,Anantapur,D. SOMANATH,Independent,2263
4652,Andhra Pradesh,Anantapur,PAVAN KUMAR,Pyramid Party of India,2070
4653,Andhra Pradesh,Anantapur,B. SRINIVASULU,Independent,1589
4654,Andhra Pradesh,Anantapur,BUZIREDDY VENUGOPAL REDDY,Indian Christian Secular Party,1381
4655,Andhra Pradesh,Anantapur,G. NAGARAJU,Independent,1086
4656,Andhra Pradesh,Anantapur,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),944
4657,Andhra Pradesh,Anantapur,None of the Above,None of the Above,8798
4658,Tamil Nadu,Karur,THAMBIDURAI,M.,All India Anna Dravida Munnetra Kazhagam
4659,Tamil Nadu,Karur,CHINNASAMY, M.,Dravida Munnetra Kazhagam
4660,Tamil Nadu,Karur,KRISHNAN, N.S.,Desiya Murpokku Dravida Kazhagam
4661,Tamil Nadu,Karur,JOTHIMANI, S.,Indian National Congress
4662,Tamil Nadu,Karur,MARUTHAIVEERAN, V.,Bahujan Samaj Party
4663,Tamil Nadu,Karur,BALASUBRAMANIAN, G.,Independent
4664,Tamil Nadu,Karur,PRAKASH, N.,Independent
4665,Tamil Nadu,Karur,CHINNASAMY, M.,Independent
4666,Tamil Nadu,Karur,SELVARAJ, S.,Independent
4667,Tamil Nadu,Karur,VALAIYAPATHI, R.,Aam Aadmi Party
4668,Tamil Nadu,Karur,CHINNASAMY, V.,Independent
4669,Tamil Nadu,Karur,KANNAN, P.,Independent
4670,Tamil Nadu,Karur,GOWRIMANI, S.,Independent
4671,Tamil Nadu,Karur,THAMILALAGAN, A.,Independent
4672,Tamil Nadu,Karur,MANEESHANKAR, M.G.,Rashtriya Samaj Paksha
4673,Tamil Nadu,Karur,MAHENDRAN, T.,Independent
4674,Tamil Nadu,Karur,VIGNESHWARAN, M.,Independent
4675,Tamil Nadu,Karur,MURUGESAN, M.,Samajwadi Party
4676,Tamil Nadu,Karur,VIJAY, J.,Independent
4677,Tamil Nadu,Karur,MANICKAVASAGAM, A.,Independent
4678,Tamil Nadu,Karur,SARASWATHY, K.,Communist Party of India (Marxist-Leninist) Red Star
4679,Tamil Nadu,Karur,RAVI, S.P.,Independent
4680,Tamil Nadu,Karur,KANNAN, S.,Independent
4681,Tamil Nadu,Karur,RAVICHANDRAN, V.,Ulzaipali Makkal Katchy
4682,Tamil Nadu,Karur,MURUGAAN, N.,Independent
4683,Tamil Nadu,Karur,None of the Above,None of the Above,13763
4684,Tamil Nadu,Tiruchirappalli,KUMAR.P,All India Anna Dravida Munnetra Kazhagam,458478
4685,Tamil Nadu,Tiruchirappalli,ANBHALAGAN.MU,Dravida Munnetra Kazhagam,308002
4686,Tamil Nadu,Tiruchirappalli,VIJAYKUMAR.AMG,Desiya Murpokku Dravida Kazhagam,94785
4687,Tamil Nadu,Tiruchirappalli,SARUBALA R THONDAIMAN,Indian National Congress,51537
4688,Tamil Nadu,Tiruchirappalli,SRIDHAR.S,Communist Party of India (Marxist),17039
4689,Tamil Nadu,Tiruchirappalli,RAVI.P,Aam Aadmi Party,4885
4690,Tamil Nadu,Tiruchirappalli,KUMAR.P,Independent,4077
4691,Tamil Nadu,Tiruchirappalli,ARUNACHALAM.A,Independent,3239
4692,Tamil Nadu,Tiruchirappalli,SHADHICK BATCHA.A,Independent,3083
4693,Tamil Nadu,Tiruchirappalli,ESWARAN.J,Independent,2484
4694,Tamil Nadu,Tiruchirappalli,SRIDEVI.S,Independent,2348
4695,Tamil Nadu,Tiruchirappalli,NATARAJAN.S,Bahujan Samaj Party,1710
4696,Tamil Nadu,Tiruchirappalli,ASAITHAMBI.PALA,Communist Party of India (Marxist-Leninist) (Liberation),1425
4697,Tamil Nadu,Tiruchirappalli,RAGAVAN. R,Independent,1283
4698,Tamil Nadu,Tiruchirappalli,LARANCE.Y,Independent,1198
4699,Tamil Nadu,Tiruchirappalli,DINESHKUMAR.G,Independent,1119
4700,Tamil Nadu,Tiruchirappalli,JOTHI.P,Samajwadi Party,1003
4701,Tamil Nadu,Tiruchirappalli,SUNDARRAJ.S,Independent,784
4702,Tamil Nadu,Tiruchirappalli,THADDAUS FERNANDEZ,Independent,751
4703,Tamil Nadu,Tiruchirappalli,ASRAF ALI.M,Independent,734
4704,Tamil Nadu,Tiruchirappalli,ANWAR DEEN.S,Samata Party,731
4705,Tamil Nadu,Tiruchirappalli,PALANIVEL.P,Independent,687
4706,Tamil Nadu,Tiruchirappalli,VIJAYAKUMAR.P,Independent,680
4707,Tamil Nadu,Tiruchirappalli,BADHUSHA.M,Independent,669
4708,Tamil Nadu,Tiruchirappalli,ANBALAGAN.M,Independent,636
4709,Tamil Nadu,Tiruchirappalli,KARUNAKARAN.M,Lok Satta Party,606
4710,Tamil Nadu,Tiruchirappalli,VEERAMALAI.A,Independent,589
4711,Tamil Nadu,Tiruchirappalli,BALA KRISHNAN.K,Independent,485
4712,Tamil Nadu,Tiruchirappalli,MOHANDASS.M,Independent,355
4713,Tamil Nadu,Tiruchirappalli,None of the Above,None of the Above,22848
4714,Tamil Nadu,Perambalur,MARUTHARAJAA, R.P.,All India Anna Dravida Munnetra Kazhagam
4715,Tamil Nadu,Perambalur,SEEMANUR PRABU, S.,Dravida Munnetra Kazhagam
4716,Tamil Nadu,Perambalur,PARIVENDAR PACHAMUTHU, T.R.,Bharatiya Janata Party
4717,Tamil Nadu,Perambalur,RAJASEKARAN, M.,Indian National Congress
4718,Tamil Nadu,Perambalur,RAMAR YADAV, K.,Tamil Nadu Makkal Congress
4719,Tamil Nadu,Perambalur,MARUTHARAJ, P.,Independent
4720,Tamil Nadu,Perambalur,VELAYUTHAM, C.,Independent
4721,Tamil Nadu,Perambalur,SELVARAJ, V.M.,Bahujan Samaj Party
4722,Tamil Nadu,Perambalur,PACHAMUTHU, N.,Independent
4723,Tamil Nadu,Perambalur,VISWANATHAN, A.,Independent
4724,Tamil Nadu,Perambalur,PRABU, S.,Independent
4725,Tamil Nadu,Perambalur,VADIVELU, P.,Independent
4726,Tamil Nadu,Perambalur,ANBIL THANGAMANI, K.,Independent
4727,Tamil Nadu,Perambalur,THOZHAR TAMILSELVAN, P.,United Communist Party of India
4728,Tamil Nadu,Perambalur,RAJASEKAR, T.,Independent
4729,Tamil Nadu,Perambalur,MANI, P.,Independent
4730,Tamil Nadu,Perambalur,SUBRAMANI, D.,Independent
4731,Tamil Nadu,Perambalur,ABDUL RAHMAN, R.,Independent
4732,Tamil Nadu,Perambalur,SIVAPERUMAL, K.,Independent
4733,Tamil Nadu,Perambalur,CHINNA RAJENDRAN, C.,Independent
4734,Tamil Nadu,Perambalur,RENGARAJU, M.,Independent
4735,Tamil Nadu,Perambalur,None of the Above,None of the Above,11605
4736,Tamil Nadu,Cuddalore,ARUNMOZHITHEVAN.A,All India Anna Dravida Munnetra Kazhagam,481429
4737,Tamil Nadu,Cuddalore,NANDAGOPALAKRISHNAN.K.,Dravida Munnetra Kazhagam,278304
4738,Tamil Nadu,Cuddalore,JAYASANKAR.C.R,Desiya Murpokku Dravida Kazhagam,147606
4739,Tamil Nadu,Cuddalore,ALAGIRI.S,Indian National Congress,26650
4740,Tamil Nadu,Cuddalore,BALASUBRAMANIAN.K,Communist Party of India,11122
4741,Tamil Nadu,Cuddalore,RAJKUMAR.V,Independent,7678
4742,Tamil Nadu,Cuddalore,JAISHANKAR.P.,Independent,6250
4743,Tamil Nadu,Cuddalore,SYED MOHIDEEN.A.G.,Aam Aadmi Party,3473
4744,Tamil Nadu,Cuddalore,SENTHILMURUGAN.S,Bahujan Samaj Party,2642
4745,Tamil Nadu,Cuddalore,THIRUNAVUKKARASU,Independent,1782
4746,Tamil Nadu,Cuddalore,RADHAKRISHNAN.K.R,Independent,1370
4747,Tamil Nadu,Cuddalore,ANANDHARAJAN.S,Independent,1309
4748,Tamil Nadu,Cuddalore,SIVAGNANASAMBANDAN.T,Independent,1257
4749,Tamil Nadu,Cuddalore,SHRUTI MISHRA,Union Party of India,944
4750,Tamil Nadu,Cuddalore,BASKAR.A,Independent,872
4751,Tamil Nadu,Cuddalore,SENGUTTUVAN.R,Independent,862
4752,Tamil Nadu,Cuddalore,GIRIJA.S,Independent,650
4753,Tamil Nadu,Cuddalore,None of the Above,None of the Above,10338
4754,Tamil Nadu,Chidambaram,CHANDRAKASI, M,All India Anna Dravida Munnetra Kazhagam
4755,Tamil Nadu,Chidambaram,THIRUMAAVALAVAN, THOL,Viduthalai Chiruthaigal Katchi
4756,Tamil Nadu,Chidambaram,SUDHAMANIRATHINEM,Pattali Makkal Katchi,279016
4757,Tamil Nadu,Chidambaram,VALLAL PERUMAN, P,Indian National Congress
4758,Tamil Nadu,Chidambaram,ANANDAN ALIAS KAVIGNAR ANANTHAMAALAI, S,Independent
4759,Tamil Nadu,Chidambaram,EZHUMALAI, V,Akhil Bharat Hindu Mahasabha
4760,Tamil Nadu,Chidambaram,RAJENDRAN, K,Bahujan Samaj Party
4761,Tamil Nadu,Chidambaram,RAJKUMAR, S,Independent
4762,Tamil Nadu,Chidambaram,THIRUSANGU, A,Independent
4763,Tamil Nadu,Chidambaram,PAZHANIVEL, P,Independent
4764,Tamil Nadu,Chidambaram,PARVATHI, S,Independent
4765,Tamil Nadu,Chidambaram,PUSHPARAJ, S,Independent
4766,Tamil Nadu,Chidambaram,SENTHAMIZHSELVI, K,Independent
4767,Tamil Nadu,Chidambaram,CHANDRAGASAN, N,Independent
4768,Tamil Nadu,Chidambaram,SANMUGAM, A,Independent
4769,Tamil Nadu,Chidambaram,None of the Above,None of the Above,12138
4770,Tamil Nadu,Mayiladuthurai,BHARATHI MOHAN R.K,All India Anna Dravida Munnetra Kazhagam,513729
4771,Tamil Nadu,Mayiladuthurai,HYDER ALI.S,Manithaneya Makkal Katchi,236679
4772,Tamil Nadu,Mayiladuthurai,AGORAM. K,Pattali Makkal Katchi,144085
4773,Tamil Nadu,Mayiladuthurai,MANI SHANKAR AIYAR,Indian National Congress,58465
4774,Tamil Nadu,Mayiladuthurai,PANDIYAN .R,Independent,11613
4775,Tamil Nadu,Mayiladuthurai,FATHIMA ALIAS BHARATHI. R,Independent,7582
4776,Tamil Nadu,Mayiladuthurai,RAGURAMAN. A,Independent,7214
4777,Tamil Nadu,Mayiladuthurai,REVATHI.A,Independent,6286
4778,Tamil Nadu,Mayiladuthurai,THIRUNAVUKKARASU. R,Independent,4714
4779,Tamil Nadu,Mayiladuthurai,GUNASEKARAN.N,Independent,4149
4780,Tamil Nadu,Mayiladuthurai,RASAVELU.K,Bahujan Samaj Party,3654
4781,Tamil Nadu,Mayiladuthurai,IRULAPPAN.V,Samajwadi Party,2643
4782,Tamil Nadu,Mayiladuthurai,TIMOTHY.T,Independent,2327
4783,Tamil Nadu,Mayiladuthurai,SHAMSUDEEN. M,Independent,2303
4784,Tamil Nadu,Mayiladuthurai,ARUMUGAM. C,Independent,2028
4785,Tamil Nadu,Mayiladuthurai,MUNUSAMY.V,Independent,1994
4786,Tamil Nadu,Mayiladuthurai,NAGARAJAN. M,Independent,1066
4787,Tamil Nadu,Mayiladuthurai,JARINA BEGAM. N,Independent,1056
4788,Tamil Nadu,Mayiladuthurai,JEYAPRAKASH. B,Independent,770
4789,Tamil Nadu,Mayiladuthurai,None of the Above,None of the Above,13181
4790,Tamil Nadu,Nagapattinam,GOPAL. DR. K,All India Anna Dravida Munnetra Kazhagam,434174
4791,Tamil Nadu,Nagapattinam,VIJAYAN. A.K.S,Dravida Munnetra Kazhagam,328095
4792,Tamil Nadu,Nagapattinam,PALANISAMY. G,Communist Party of India,90313
4793,Tamil Nadu,Nagapattinam,VADIVEL RAVANAN,Pattali Makkal Katchi,43506
4794,Tamil Nadu,Nagapattinam,SENTHILPANDIAN. THALAI. T.A.P,Indian National Congress,23967
4795,Tamil Nadu,Nagapattinam,THANGASAMY. V,Bahujan Samaj Party,1851
4796,Tamil Nadu,Nagapattinam,DEVAKI. G,Independent,1847
4797,Tamil Nadu,Nagapattinam,MOHAN. G,Independent,1754
4798,Tamil Nadu,Nagapattinam,MURUGAIYAN. K,Independent,1033
4799,Tamil Nadu,Nagapattinam,None of the Above,None of the Above,15662
4800,Tamil Nadu,Thanjavur,PARASURAMAN.K,All India Anna Dravida Munnetra Kazhagam,510307
4801,Tamil Nadu,Thanjavur,BAALU.T.R,Dravida Munnetra Kazhagam,366188
4802,Tamil Nadu,Thanjavur,MURUGANANTHAM.M,Bharatiya Janata Party,58521
4803,Tamil Nadu,Thanjavur,KRISHNASAMY VANDAYAR.T,Indian National Congress,30232
4804,Tamil Nadu,Thanjavur,TAMILSELVI.S,Communist Party of India (Marxist),23215
4805,Tamil Nadu,Thanjavur,MUMMOORTHI.S@S.M.MOORTHY,Namadhu Makkal Katchi,2511
4806,Tamil Nadu,Thanjavur,ARANGARAJAN.M,Bahujan Samaj Party,2253
4807,Tamil Nadu,Thanjavur,PANASAI ARANGAN.N,Independent,1830
4808,Tamil Nadu,Thanjavur,SIVAKUMAR.V,Independent,1511
4809,Tamil Nadu,Thanjavur,RAJKUMAR.R,Independent,1409
4810,Tamil Nadu,Thanjavur,MADHAVAN.T,Independent,1169
4811,Tamil Nadu,Thanjavur,GUNASEKARAN.T,Independent,894
4812,Tamil Nadu,Thanjavur,None of the Above,None of the Above,12218
4813,Tamil Nadu,Sivaganga,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,475993
4814,Tamil Nadu,Sivaganga,DHURAI RAAJ SUBHA,Dravida Munnetra Kazhagam,246608
4815,Tamil Nadu,Sivaganga,RAJA H,Bharatiya Janata Party,133763
4816,Tamil Nadu,Sivaganga,KARTI P CHIDAMBARAM,Indian National Congress,104678
4817,Tamil Nadu,Sivaganga,KRISHNAN S,Communist Party of India,20473
4818,Tamil Nadu,Sivaganga,RAJASEKAR.S @ S.R.THEVAR,Desiya Forward Bloc,4029
4819,Tamil Nadu,Sivaganga,RAKKAMUTHU V,Bahujan Samaj Party,3056
4820,Tamil Nadu,Sivaganga,VELLADHURAI A,Ezhuchi Tamilargal Munnetra Kazhagam,3023
4821,Tamil Nadu,Sivaganga,ARIMAZHAM THIYAGI SUBRAMANIAN MUTHURAJA M,Independent,3021
4822,Tamil Nadu,Sivaganga,NELSON A,Independent,2987
4823,Tamil Nadu,Sivaganga,BALU S,Tamil Nadu Makkal Congress,2196
4824,Tamil Nadu,Sivaganga,THAMILARIMA S,Aam Aadmi Party,2131
4825,Tamil Nadu,Sivaganga,SARAVANAN M,Independent,2100
4826,Tamil Nadu,Sivaganga,SELVARAJ A,Independent,2050
4827,Tamil Nadu,Sivaganga,PALANI S,Independent,1699
4828,Tamil Nadu,Sivaganga,KALAIMANI K,Makkal Manadu Katchi,1438
4829,Tamil Nadu,Sivaganga,RAJA A,Independent,1337
4830,Tamil Nadu,Sivaganga,GUNASEKARAN P,Independent,1269
4831,Tamil Nadu,Sivaganga,SIVAGNANAM AL,Independent,1007
4832,Tamil Nadu,Sivaganga,BALAKRISHNAN P,Independent,949
4833,Tamil Nadu,Sivaganga,KARTHIKARAJAN T,Independent,873
4834,Tamil Nadu,Sivaganga,PERIYAKARUPPAN S,Independent,837
4835,Tamil Nadu,Sivaganga,NATCHIAPPAN SP,Independent,794
4836,Tamil Nadu,Sivaganga,LENIN M,Independent,741
4837,Tamil Nadu,Sivaganga,MURUGAN P,Independent,736
4838,Tamil Nadu,Sivaganga,RADHAKRISHNAN A,Independent,641
4839,Tamil Nadu,Sivaganga,MEGARAJ MALLAR,Independent,565
4840,Tamil Nadu,Sivaganga,None of the Above,None of the Above,8042
4841,Tamil Nadu,Madurai,R.GOPALAKRISHNAN,All India Anna Dravida Munnetra Kazhagam,454167
4842,Tamil Nadu,Madurai,V VELUSAMY,Dravida Munnetra Kazhagam,256731
4843,Tamil Nadu,Madurai,D SIVAMUTHU KUMAR,Desiya Murpokku Dravida Kazhagam,147300
4844,Tamil Nadu,Madurai,T.N.BHARATH NACHIAPPAN,Indian National Congress,32143
4845,Tamil Nadu,Madurai,B.VIKRAMAN,Communist Party of India (Marxist),30108
4846,Tamil Nadu,Madurai,P.GOPALAKRISHNAN,Independent,6337
4847,Tamil Nadu,Madurai,M.KAMACIS,Aam Aadmi Party,5423
4848,Tamil Nadu,Madurai,V.ANDICHAMY,Independent,4461
4849,Tamil Nadu,Madurai,M.GOPALAKRISHNAN,Independent,2770
4850,Tamil Nadu,Madurai,V.G.RAMDOSS,Independent,2745
4851,Tamil Nadu,Madurai,V.KARUPPAIAH,Independent,2039
4852,Tamil Nadu,Madurai,J.MANIKANDESWARAN,Independent,1576
4853,Tamil Nadu,Madurai,K. RAJA,Desiya Forward Bloc,1483
4854,Tamil Nadu,Madurai,A THAVAMANI,Bahujan Samaj Party,1255
4855,Tamil Nadu,Madurai,BHARATHI KANNAMMA,Independent,1232
4856,Tamil Nadu,Madurai,P.JEYAKUMAR,Independent,985
4857,Tamil Nadu,Madurai,M.MOHAMMED ALI,Samata Party,904
4858,Tamil Nadu,Madurai,P.CHANDRABOSE,Independent,728
4859,Tamil Nadu,Madurai,K.THANGAPANDI,Independent,666
4860,Tamil Nadu,Madurai,G.MARIA JOSEPH XAVIOUR,Independent,568
4861,Tamil Nadu,Madurai,P.RAMASUBRAMANIAN,Independent,565
4862,Tamil Nadu,Madurai,G.KANNAN,Independent,555
4863,Tamil Nadu,Madurai,N ALAGU MUTHU VELAYUDAM,Independent,487
4864,Tamil Nadu,Madurai,S.ARIVUDAINAMBI,Independent,441
4865,Tamil Nadu,Madurai,T.RAMASAMY,Independent,432
4866,Tamil Nadu,Madurai,K.K.RAMESH,Independent,432
4867,Tamil Nadu,Madurai,M.MEENAKSHISUNDARAM,Independent,429
4868,Tamil Nadu,Madurai,A.KANNAN,Independent,420
4869,Tamil Nadu,Madurai,M VENKATESAN,Independent,394
4870,Tamil Nadu,Madurai,S.GANESAN,Independent,363
4871,Tamil Nadu,Madurai,S.MANICKAVASAGAM,Independent,341
4872,Tamil Nadu,Madurai,None of the Above,None of the Above,19866
4873,Andhra Pradesh,Hindupur,KRISTAPPA NIMMALA,Telugu Desam,604291
4874,Andhra Pradesh,Hindupur,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,506966
4875,Andhra Pradesh,Hindupur,G.C VENKATARAMUDU,Indian National Congress,36452
4876,Andhra Pradesh,Hindupur,K.MOHAMMAD SHAMEER BASHA,Jai Samaikyandhra Party,4590
4877,Andhra Pradesh,Hindupur,AMUDALA SUBRAMANYAM,Rayalaseema Parirakshana Samithi,4521
4878,Andhra Pradesh,Hindupur,ANAND,Pyramid Party of India,3101
4879,Andhra Pradesh,Hindupur,MADDIPATLA SUDHAKAR NAIDU,Independent,2332
4880,Andhra Pradesh,Hindupur,D. SOMANATH,Independent,2032
4881,Andhra Pradesh,Hindupur,CHINTA SARATH KUMAR REDDY,Independent,1275
4882,Andhra Pradesh,Hindupur,APPIREDDYGARI KONDA REDDY,Independent,1257
4883,Andhra Pradesh,Hindupur,K.PEDDA REDDI,Independent,1152
4884,Andhra Pradesh,Hindupur,ASADULLAH K.M,Independent,1099
4885,Andhra Pradesh,Hindupur,None of the Above,None of the Above,8189
4886,Tamil Nadu,Theni,PARTHIPAN, R.,All India Anna Dravida Munnetra Kazhagam
4887,Tamil Nadu,Theni,PON. MUTHURAMALINGAM,Dravida Munnetra Kazhagam,256722
4888,Tamil Nadu,Theni,ALAGUSUNDARAM, K.,Marumalarchi Dravida Munnetra Kazhagam
4889,Tamil Nadu,Theni,AARON RASHID, J.M.,Indian National Congress
4890,Tamil Nadu,Theni,THANGADURAI, V.,Bahujan Samaj Party
4891,Tamil Nadu,Theni,MARIAPPAN, S.K.,Independent
4892,Tamil Nadu,Theni,RAMPRAKASH, J.,Aam Aadmi Party
4893,Tamil Nadu,Theni,SENTHIL RAJAN MALLAR, K.,Independent
4894,Tamil Nadu,Theni,MAMALLAN THA. KANAGAMUTHU,Independent,2681
4895,Tamil Nadu,Theni,MOHAMED MIAKHAN, P.,Independent
4896,Tamil Nadu,Theni,MANI, S.V.,Independent
4897,Tamil Nadu,Theni,KANNAN, S.,Independent
4898,Tamil Nadu,Theni,MEENAKSHI SUNDARAM, G.K.,Samajwadi Party
4899,Tamil Nadu,Theni,ASATH, M.M.,Independent
4900,Tamil Nadu,Theni,INNASIMUTHU, M.S.,Independent
4901,Tamil Nadu,Theni,KRISHNAMOORTHY, K.,Communist Party of India (Marxist-Leninist) Red Star
4902,Tamil Nadu,Theni,MUTHURAMALINGAM, M.,Independent
4903,Tamil Nadu,Theni,RABEEK, K.,Independent
4904,Tamil Nadu,Theni,RAMAYA, R.,Independent
4905,Tamil Nadu,Theni,INIYAVAN, R.,Independent
4906,Tamil Nadu,Theni,VOLTAIRE, M.J.,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
4907,Tamil Nadu,Theni,RAJA, V.,Independent
4908,Tamil Nadu,Theni,KARUPPIAH, R.,Independent
4909,Tamil Nadu,Theni,None of the Above,None of the Above,10312
4910,Tamil Nadu,Virudhunagar,RADHAKRISHNAN T,All India Anna Dravida Munnetra Kazhagam,406694
4911,Tamil Nadu,Virudhunagar,VAIKO,Marumalarchi Dravida Munnetra Kazhagam,261143
4912,Tamil Nadu,Virudhunagar,RETHINAVELU S,Dravida Munnetra Kazhagam,241505
4913,Tamil Nadu,Virudhunagar,MANICKAM TAGORE B,Indian National Congress,38482
4914,Tamil Nadu,Virudhunagar,SAMUELRAJ K,Communist Party of India (Marxist),20157
4915,Tamil Nadu,Virudhunagar,SOUNDRAPANDIYAN K,Independent,3470
4916,Tamil Nadu,Virudhunagar,SANTHANA KRISHNAN G,Tamil Nadu Makkal Congress,3411
4917,Tamil Nadu,Virudhunagar,SOLAIRAJ K,Independent,2721
4918,Tamil Nadu,Virudhunagar,DHANUSHKODI M,Independent,2522
4919,Tamil Nadu,Virudhunagar,PALPANDI S DR,Independent,2342
4920,Tamil Nadu,Virudhunagar,KARTHIKAISAMY P,Communist Party of India (Marxist-Leninist) Red Star,2249
4921,Tamil Nadu,Virudhunagar,KAMALAVELSELVAN,Bahujan Samaj Party,1685
4922,Tamil Nadu,Virudhunagar,MOHANRAJ J,Jebamani Janata,1517
4923,Tamil Nadu,Virudhunagar,LAKSHMI KANDHAN S,Independent,1155
4924,Tamil Nadu,Virudhunagar,KANNAN G,Independent,1133
4925,Tamil Nadu,Virudhunagar,RADHAKRISHNAN PV,Independent,1068
4926,Tamil Nadu,Virudhunagar,MAHALINGAM T,Desiya Forward Bloc,1017
4927,Tamil Nadu,Virudhunagar,PANDIARAJAN R,Independent,922
4928,Tamil Nadu,Virudhunagar,SATHESH M,Independent,903
4929,Tamil Nadu,Virudhunagar,MANMATHAN M,Independent,714
4930,Tamil Nadu,Virudhunagar,SURESH GANDHI C,Independent,711
4931,Tamil Nadu,Virudhunagar,PALANICHAMY MALLAR P,Independent,700
4932,Tamil Nadu,Virudhunagar,PRADEEPKUMAR D,Lok Satta Party,681
4933,Tamil Nadu,Virudhunagar,MADHAVAN P,Independent,642
4934,Tamil Nadu,Virudhunagar,MARIMUTHU C,Independent,629
4935,Tamil Nadu,Virudhunagar,SANKAR A,Independent,532
4936,Tamil Nadu,Virudhunagar,None of the Above,None of the Above,12225
4937,Tamil Nadu,Ramanathapuram,ANWHAR RAAJHAA.A,All India Anna Dravida Munnetra Kazhagam,405945
4938,Tamil Nadu,Ramanathapuram,MOHAMED JALEEL .S,Dravida Munnetra Kazhagam,286621
4939,Tamil Nadu,Ramanathapuram,KUPPURAMU .D,Bharatiya Janata Party,171082
4940,Tamil Nadu,Ramanathapuram,THIRUNNAVUKKARASAR .SU,Indian National Congress,62160
4941,Tamil Nadu,Ramanathapuram,NOOR JIYAVUDEEN.M.I,SOCIAL DEMOCRATIC PARTY OF INDIA,12541
4942,Tamil Nadu,Ramanathapuram,UMA MAGESWARI R.T.,Communist Party of India,12312
4943,Tamil Nadu,Ramanathapuram,ARASAKUMAR B.T.,Desiya Forward Bloc,10945
4944,Tamil Nadu,Ramanathapuram,GOPAL .R,Independent,3969
4945,Tamil Nadu,Ramanathapuram,GOKILA .K,Independent,3471
4946,Tamil Nadu,Ramanathapuram,ANNAMALAI .S,Independent,3125
4947,Tamil Nadu,Ramanathapuram,MANIVASAGAM,Independent,2684
4948,Tamil Nadu,Ramanathapuram,SIVAGURUNATHAN .K,Bahujan Samaj Party,2123
4949,Tamil Nadu,Ramanathapuram,KASIRAJAN .N,Independent,1415
4950,Tamil Nadu,Ramanathapuram,PALPANDI .C,Independent,1355
4951,Tamil Nadu,Ramanathapuram,THENNARASU .P,Independent,1321
4952,Tamil Nadu,Ramanathapuram,SASI KUMAR .S,Independent,1220
4953,Tamil Nadu,Ramanathapuram,BALAKRISHNAN .S.S.,Independent,1171
4954,Tamil Nadu,Ramanathapuram,SATHIAH .G,Independent,1129
4955,Tamil Nadu,Ramanathapuram,THIAGARAJAN .R,Independent,1037
4956,Tamil Nadu,Ramanathapuram,KANNATHASAN .R,Independent,999
4957,Tamil Nadu,Ramanathapuram,PERIYASAMY .P,Independent,985
4958,Tamil Nadu,Ramanathapuram,AMIRTHALINGAM .U,Independent,941
4959,Tamil Nadu,Ramanathapuram,VETRIVEL .S,Independent,914
4960,Tamil Nadu,Ramanathapuram,AZHAGU MEENA .A,Independent,835
4961,Tamil Nadu,Ramanathapuram,MURUGESWARI,Independent,814
4962,Tamil Nadu,Ramanathapuram,AYYAPPAN .S,Independent,785
4963,Tamil Nadu,Ramanathapuram,ALLAPICHAI .E,Independent,747
4964,Tamil Nadu,Ramanathapuram,SUBBIAH .M,Independent,645
4965,Tamil Nadu,Ramanathapuram,VELCHSAMY .R,Independent,577
4966,Tamil Nadu,Ramanathapuram,RAVI .K,Independent,478
4967,Tamil Nadu,Ramanathapuram,MOOKAIYA .S,Independent,423
4968,Tamil Nadu,Ramanathapuram,None of the Above,None of the Above,6279
