CONSTITUENCY,WINNER_CANDIDATE,WINNER_PARTY,WINNER_VOTES,RUNNER_CANDIDATE,RUNNER_PARTY,RUNNER_VOTES,DIFFERENCE_IN_VOTES
HOSHANGABAD,"UDAY PRATAP SINGH","BHARATIYA JANATA PARTY",669128,"DEVENDRA PATEL ""GUDDU BHAIYA""","INDIAN NATIONAL CONGRESS",279168,389960
JALGAON,"A.T. NANA PATIL","BHARATIYA JANATA PARTY",647773,"ANNASAHEB DR.SATISH BHASKARRAO PATIL","NATIONALIST CONGRESS PARTY",264248,383525
JALORE,"DEVJI PATEL","BHARATIYA JANATA PARTY",580508,"ANJANA UDAI LAL","INDIAN NATIONAL CONGRESS",199363,381145
VARANASI,"NARENDRA MODI","BHARATIYA JANATA PARTY",581022,"ARVIND KEJRIWAL","AAM AADMI PARTY",209238,371784
BHOPAL,"ALOK SANJAR","BHARATIYA JANATA PARTY",714178,"P C SHARMA (PRAKASH MANGILAL SHARMA )","INDIAN NATIONAL CONGRESS",343482,370696
SATARA,"SHRIMANT CHH. UDAYANRAJE PRATAPSINHA BHONSALE","NATIONALIST CONGRESS PARTY",522531,"PURUSHOTTAM JADHAV",INDEPENDENT,155937,366594
MAINPURI,"MULAYAM SINGH YADAV","SAMAJWADI PARTY",595918,"SHATRUGHAN SINGH CHAUHAN","BHARATIYA JANATA PARTY",231252,364666
SHIMOGA,"B. S. YEDDYURAPPA","BHARATIYA JANATA PARTY",606216,"MANJUNATH BHANDARY","INDIAN NATIONAL CONGRESS",242911,363305
KARNAL,"ASHWINI KUMAR","BHARATIYA JANATA PARTY",594817,"ARVIND KUMAR SHARMA","INDIAN NATIONAL CONGRESS",234670,360147
BAHARAMPUR,"ADHIR RANJAN CHOWDHURY","INDIAN NATIONAL CONGRESS",583549,"INDRANIL SEN","ALL INDIA TRINAMOOL CONGRESS",226982,356567
KOKRAJHAR,"NABA KUMAR SARANIA (HIRA)",INDEPENDENT,634428,"URKHAO GWRA BRAHMA",INDEPENDENT,278649,355779
"RAE BARELI","SONIA GANDHI","INDIAN NATIONAL CONGRESS",526434,"AJAY AGRAWAL","BHARATIYA JANATA PARTY",173721,352713
JHARGRAM,"UMA SAREN","ALL INDIA TRINAMOOL CONGRESS",674504,"DR. PULIN BIHARI BASKE","COMMUNIST PARTY OF INDIA (MARXIST)",326621,347883
ARAMBAGH,"APARUPA PODDAR (AFRIN ALI)","ALL INDIA TRINAMOOL CONGRESS",748764,"SAKTIMOHAN MALIK","COMMUNIST PARTY OF INDIA (MARXIST)",401919,346845
AMBALA,"RATTAN LAL KATARIA","BHARATIYA JANATA PARTY",612121,"RAJ KUMAR BALMIKI","INDIAN NATIONAL CONGRESS",272047,340074
"JAIPUR RURAL","RAJYAVARDHAN SINGH RATHORE","BHARATIYA JANATA PARTY",632930,"DR. C.P. JOSHI","INDIAN NATIONAL CONGRESS",300034,332896
MATHURA,"HEMA MALINI","BHARATIYA JANATA PARTY",574633,"JAYANT CHAUDHARY","RASHTRIYA LOK DAL",243890,330743
BETUL,"JYOTI DHURVE","BHARATIYA JANATA PARTY",643651,"AJAY SHAH ""MAKRAI""","INDIAN NATIONAL CONGRESS",315037,328614
"AHMEDABAD EAST","PARESH RAWAL","BHARATIYA JANATA PARTY",633582,"PATEL HIMMATSINGH PRAHLADSINGH","INDIAN NATIONAL CONGRESS",306949,326633
HATHRAS,"RAJESH KUMAR DIWAKER","BHARATIYA JANATA PARTY",544277,"MANOJ KUMAR SONI","BAHUJAN SAMAJ PARTY",217891,326386
THIRUVALLUR,VENUGOPAL.P.(DR),"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",628499,RAVIKUMAR.D,"VIDUTHALAI CHIRUTHAIGAL KATCHI",305069,323430
"AHMEDABAD WEST","DR. KIRIT P SOLANKI","BHARATIYA JANATA PARTY",617104,"ISHWARBAHI DHANABHAI MAKWANA","INDIAN NATIONAL CONGRESS",296793,320311
JAJPUR,"RITA TARAI","BIJU JANATA DAL",541349,"ASOK DAS","INDIAN NATIONAL CONGRESS",221078,320271
RAVER,"KHADASE RAKSHA NIKHIL","BHARATIYA JANATA PARTY",605452,"MANISHDADA JAIN","NATIONALIST CONGRESS PARTY",287384,318068
"MUMBAI NORTH EAST","KIRIT SOMAIYA","BHARATIYA JANATA PARTY",525285,"SANJAY DINA PATIL","NATIONALIST CONGRESS PARTY",208163,317122
CHITTORGARH,"CHANDRA PRAKASH JOSHI","BHARATIYA JANATA PARTY",703236,"GIRIJA VYAS","INDIAN NATIONAL CONGRESS",386379,316857
GAUHATI,"BIJOYA CHAKRAVARTY","BHARATIYA JANATA PARTY",764985,"MANASH BORAH","INDIAN NATIONAL CONGRESS",449201,315784
PUNE,"ANIL SHIROLE","BHARATIYA JANATA PARTY",569825,"DR.VISHWAJEET PATANGRAO KADAM","INDIAN NATIONAL CONGRESS",254056,315769
THENI,"PARTHIPAN R.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",571254,"PON. MUTHURAMALINGAM","DRAVIDA MUNNETRA KAZHAGAM",256722,314532
GORAKHPUR,ADITYANATH,"BHARATIYA JANATA PARTY",539127,"RAJMATI NISHAD","SAMAJWADI PARTY",226344,312783
ASKA,"LADU KISHORE SWAIN","BIJU JANATA DAL",541473,"SRILOKANATH RATHA","INDIAN NATIONAL CONGRESS",229476,311997
UNNAO,"SWAMI SACHCHIDANAND HARI SAKSHI","BHARATIYA JANATA PARTY",518834,"ARUN SHANKAR SHUKLA","SAMAJWADI PARTY",208661,310173
UJJAIN,"PROF. CHINTAMANI MALVIYA","BHARATIYA JANATA PARTY",641101,"PREMCHAND GUDDU","INDIAN NATIONAL CONGRESS",331438,309663
PHULPUR,"KESHAV PRASAD MAURYA","BHARATIYA JANATA PARTY",503564,"DHARAM RAJ SINGH PATEL","SAMAJWADI PARTY",195256,308308
BIKANER,"ARJUN RAM MEGHWAL","BHARATIYA JANATA PARTY",584932,"ER. SHANKAR PANNU","INDIAN NATIONAL CONGRESS",276853,308079
PILIBHIT,"MANEKA SANJAY GANDHI","BHARATIYA JANATA PARTY",546934,"BUDHSEN VERMA","SAMAJWADI PARTY",239882,307052
CUTTACK,"BHARTRUHARI MAHATAB","BIJU JANATA DAL",526085,"APARAJITA MOHANTY","INDIAN NATIONAL CONGRESS",219323,306762
MANDSOUR,"SUDHIR GUPTA","BHARATIYA JANATA PARTY",698335,"MEENAKSHI NATARAJAN","INDIAN NATIONAL CONGRESS",394686,303649
SHIRUR,"ADHALRAO SHIVAJI DATTATREY",SHIVSENA,643415,"NIKAM DEVDATTA JAYWANT","NATIONALIST CONGRESS PARTY",341601,301814
AGRA,"DR. RAM SHANKAR KATHERIA","BHARATIYA JANATA PARTY",583716,"NARAYAN SINGH SUMAN","BAHUJAN SAMAJ PARTY",283453,300263
BHAVNAGAR,"DR. BHARATIBEN DHIRUBHAI SHIYAL","BHARATIYA JANATA PARTY",549529,"RATHOD PRAVINBHAI JINABHAI","INDIAN NATIONAL CONGRESS",254041,295488
CHURU,"RAHUL KASWAN","BHARATIYA JANATA PARTY",595756,"ABHINESH MAHARSHI","BAHUJAN SAMAJ PARTY",301017,294739
NAMAKKAL,"SUNDARAM P.R","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",563272,GANDHISELVAN.S,"DRAVIDA MUNNETRA KAZHAGAM",268898,294374
DHANBAD,"PASHUPATI NATH SINGH","BHARATIYA JANATA PARTY",543491,"AJAY KUMAR DUBEY","INDIAN NATIONAL CONGRESS",250537,292954
LAKHIMPUR,"SARBANANDA SONOWAL","BHARATIYA JANATA PARTY",612543,"RANEE NARAH","INDIAN NATIONAL CONGRESS",320405,292138
GANGANAGAR,NIHALCHAND,"BHARATIYA JANATA PARTY",658130,"MASTER BHANWARLAL MEGHWAL","INDIAN NATIONAL CONGRESS",366389,291741
PEDDAPALLE,"BALKA SUMAN","TELANGANA RASHTRA SAMITHI",565496,"G. VIVEKANAND","INDIAN NATIONAL CONGRESS",274338,291158
JALAUN,"BHANU PRATAP SINGH VERMA","BHARATIYA JANATA PARTY",548631,"BRIJLAL KHABRI","BAHUJAN SAMAJ PARTY",261429,287202
"GOPALGANJ (SC)","JANAK RAM","BHARATIYA JANATA PARTY",478773,"DR. JYOTI BHARTI","INDIAN NATIONAL CONGRESS",191837,286936
ALIGARH,"SATISH KUMAR","BHARATIYA JANATA PARTY",514622,"DR. ARVIND KUMAR SINGH","BAHUJAN SAMAJ PARTY",227886,286736
NAGPUR,"GADKARI NITIN JAIRAM","BHARATIYA JANATA PARTY",587767,"VILAS MUTTEMWAR","INDIAN NATIONAL CONGRESS",302939,284828
"NAINITAL-UDHAMSINGH NAGAR","BHAGAT SINGH KOSHYARI","BHARATIYA JANATA PARTY",636769,"K.C.SINGH BABA","INDIAN NATIONAL CONGRESS",352052,284717
ALWAR,"CHAND NATH","BHARATIYA JANATA PARTY",642278,"BHANWAR JITENDRA SINGH","INDIAN NATIONAL CONGRESS",358383,283895
FAIZABAD,"LALLU SINGH","BHARATIYA JANATA PARTY",491761,"MITRASEN YADAV","SAMAJWADI PARTY",208986,282775
JHALAWAR-BARAN,"DUSHYANT SINGH","BHARATIYA JANATA PARTY",676102,"PRAMOD BHAYA","INDIAN NATIONAL CONGRESS",394556,281546
THANE,"VICHARE RAJAN BABURAO",SHIVSENA,595364,"SANJEEV GANESH NAIK","NATIONALIST CONGRESS PARTY",314065,281299
"GAUTAM BUDDHA NAGAR","DR.MAHESH SHARMA","BHARATIYA JANATA PARTY",599702,"NARENDRA BHATI","SAMAJWADI PARTY",319490,280212
AKBARPUR,"DEVENDRA SINGH @ BHOLE SINGH","BHARATIYA JANATA PARTY",481584,"ANIL SHUKLA WARSI","BAHUJAN SAMAJ PARTY",202587,278997
MAYILADUTHURAI,"BHARATHI MOHAN R.K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",513729,"HYDER ALI.S","MANITHANEYA MAKKAL KATCHI",236679,277050
JAGATSINGHPUR,"KULAMANI SAMAL","BIJU JANATA DAL",624492,"BIBHU PRASAD TARAI","INDIAN NATIONAL CONGRESS",348098,276394
GURGAON,"INDERJIT SINGH RAO","BHARATIYA JANATA PARTY",644780,"ZAKIR HUSSAIN","INDIAN NATIONAL LOK DAL",370058,274722
LUCKNOW,"RAJ NATH SINGH","BHARATIYA JANATA PARTY",561106,"PROF. RITA BAHUGUNA JOSHI","INDIAN NATIONAL CONGRESS",288357,272749
"WEST DELHI","PARVESH SAHIB SINGH VERMA","BHARATIYA JANATA PARTY",651395,"JARNAIL SINGH","AAM AADMI PARTY",382809,268586
PORBANDAR,"RADADIYA VITHALBHAI HANSRAJBHAI","BHARATIYA JANATA PARTY",508437,"JADEJA KANDHALBHAI SARMANBHAI","NATIONALIST CONGRESS PARTY",240466,267971
SALEM,PANNERSELVAM.V,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",556546,"UMARANI. S","DRAVIDA MUNNETRA KAZHAGAM",288936,267610
"PATNA SAHIB","SHATRUGHANA SINHA","BHARATIYA JANATA PARTY",485905,"KUNAL SINGH","INDIAN NATIONAL CONGRESS",220100,265805
DEORIA,"KALRAJ MISHRA","BHARATIYA JANATA PARTY",496500,"NIYAJ AHMAD","BAHUJAN SAMAJ PARTY",231114,265386
PALAMAU,"VISHNU DAYAL RAM","BHARATIYA JANATA PARTY",476513,"MANOJ KUMAR","RASHTRIYA JANATA DAL",212571,263942
PURI,"PINAKI MISRA","BIJU JANATA DAL",523161,"SUCHARITA MOHANTY","INDIAN NATIONAL CONGRESS",259800,263361
GHATAL,"ADHIKARI DEEPAK (DEV)","ALL INDIA TRINAMOOL CONGRESS",685696,"SANTOSH RANA","COMMUNIST PARTY OF INDIA",424805,260891
DEWAS,"MANOHAR UNTWAL","BHARATIYA JANATA PARTY",665646,"SAJJAN SINGH VERMA","INDIAN NATIONAL CONGRESS",405333,260313
KHANDWA,"NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA)","BHARATIYA JANATA PARTY",717357,"ARUN SUBHASH CHANDRA YADAV","INDIAN NATIONAL CONGRESS",457643,259714
KHARGONE,"SUBHASH PATEL","BHARATIYA JANATA PARTY",649354,"RAMESH PATEL","INDIAN NATIONAL CONGRESS",391475,257879
JAMMU,"JUGAL KISHORE","BHARATIYA JANATA PARTY",619995,"MADAN LAL SHARMA","INDIAN NATIONAL CONGRESS",362715,257280
SECUNDRABAD,"BANDARU DATTATREYA","BHARATIYA JANATA PARTY",438271,"M.ANJAN KUMAR YADAV","INDIAN NATIONAL CONGRESS",183536,254735
KACHCHH,"CHAVDA VINOD LAKHAMASHI","BHARATIYA JANATA PARTY",562855,"DR.DINESH PARMAR","INDIAN NATIONAL CONGRESS",308373,254482
LATUR,"DR. SUNIL BALIRAM GAIKWAD","BHARATIYA JANATA PARTY",616509,"BANSODE DATTATRAY GUNDERAO","INDIAN NATIONAL CONGRESS",363114,253395
KALYAN,"DR.SHRIKANT EKNATH SHINDE",SHIVSENA,440892,"ANAND PRAKASH PARANJPE","NATIONALIST CONGRESS PARTY",190143,250749
DINDORI,"CHAVAN HARISHCHANDRA DEORAM","BHARATIYA JANATA PARTY",542784,"DR. BHARATI PRAVIN PAWAR","NATIONALIST CONGRESS PARTY",295165,247619
KHAJURAHO,"NAGENDRA SINGH","BHARATIYA JANATA PARTY",474966,"RAJA PATERIA","INDIAN NATIONAL CONGRESS",227476,247490
TAMLUK,"ADHIKARI SUVENDU","ALL INDIA TRINAMOOL CONGRESS",716928,"SEKH IBRAHIM ALI","COMMUNIST PARTY OF INDIA (MARXIST)",470447,246481
RAJKOT,"KUNDARIYA MOHANBHAI KALYANJIBHAI","BHARATIYA JANATA PARTY",621524,"KUNVARJIBHAI MOHANBHAI BAVALIYA","INDIAN NATIONAL CONGRESS",375096,246428
BHILWARA,"SUBHASH BAHERIA","BHARATIYA JANATA PARTY",630317,"ASHOK CHANDNA","INDIAN NATIONAL CONGRESS",384053,246264
BHARATPUR,"BAHADUR SINGH","BHARATIYA JANATA PARTY",579825,"DR.SURESH JATAV","INDIAN NATIONAL CONGRESS",334357,245468
ARANI,V.ELUMALAI,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",502721,R.SIVANANDAM,"DRAVIDA MUNNETRA KAZHAGAM",258877,243844
SHAHDOL,"DALPAT SINGH PARASTE","BHARATIYA JANATA PARTY",525419,"RAJES NANDINI SINGH","INDIAN NATIONAL CONGRESS",284118,241301
ARAKKONAM,"HARI G.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",493534,"ELANGO N.R","DRAVIDA MUNNETRA KAZHAGAM",252768,240766
BAREILLY,"SANTOSH KUMAR GANGWAR","BHARATIYA JANATA PARTY",518258,"AYESHA ISLAM","SAMAJWADI PARTY",277573,240685
PALGHAR,"ADV. CHINTAMAN NAVASHA WANGA","BHARATIYA JANATA PARTY",533201,"BALIRAM SUKUR JADHAV","BAHUJAN VIKAS AAGHADI",293681,239520
SANGLI,"SANJAYKAKA PATIL","BHARATIYA JANATA PARTY",611563,"PATIL PRATIK PRAKASHBAPU","INDIAN NATIONAL CONGRESS",372271,239292
SIKAR,"SUMEDHANAND SARASWATI","BHARATIYA JANATA PARTY",499428,"PRATAP SINGH JAT","INDIAN NATIONAL CONGRESS",260232,239196
GADCHIROLI-CHIMUR,"ASHOK MAHADEORAO NETE","BHARATIYA JANATA PARTY",535982,"DR. NAMDEO DALLUJI USENDI","INDIAN NATIONAL CONGRESS",299112,236870
KAIRANA,"HUKUM SINGH","BHARATIYA JANATA PARTY",565909,"NAHID HASAN","SAMAJWADI PARTY",329081,236828
UDAIPUR,"ARJUNLAL MEENA","BHARATIYA JANATA PARTY",660373,"RAGHUVIR SINGH","INDIAN NATIONAL CONGRESS",423611,236762
CHANDRAPUR,"AHIR HANSRAJ GANGARAM","BHARATIYA JANATA PARTY",508049,"DEOTALE SANJAY WAMANRAO","INDIAN NATIONAL CONGRESS",271780,236269
BOLPUR,"ANUPAM HAZRA","ALL INDIA TRINAMOOL CONGRESS",630693,"DOME RAMCHANDRA","COMMUNIST PARTY OF INDIA (MARXIST)",394581,236112
RAJNANDGAON,"ABHISHEK SINGH","BHARATIYA JANATA PARTY",643473,"KAMLESHWAR VERMA","INDIAN NATIONAL CONGRESS",407562,235911
SHAHJAHANPUR,"KRISHNA RAJ","BHARATIYA JANATA PARTY",525132,"UMED SINGH KASHYAP","BAHUJAN SAMAJ PARTY",289603,235529
OSMANABAD,"GAIKWAD RAVINDRA VISHWANATH",SHIVSENA,607699,"PATIL PADMASINHA BAJIRAO","NATIONALIST CONGRESS PARTY",373374,234325
JHUNJHUNU,"SANTOSH AHLAWAT","BHARATIYA JANATA PARTY",488182,"RAJ BALA OLA","INDIAN NATIONAL CONGRESS",254347,233835
KHEDA,"CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH)","BHARATIYA JANATA PARTY",568235,"DINSHA PATEL","INDIAN NATIONAL CONGRESS",335334,232901
SALEMPUR,"RAVINDRA KUSHAWAHA","BHARATIYA JANATA PARTY",392213,"RAVI SHANKER SINGH""PAPPU""","BAHUJAN SAMAJ PARTY",159871,232342
MEERUT,"RAJENDRA AGARWAL","BHARATIYA JANATA PARTY",532981,"MOHD.SHAHID AKHLAK","BAHUJAN SAMAJ PARTY",300655,232326
"BANGALORE RURAL","D K SURESH","INDIAN NATIONAL CONGRESS",652723,"MUNIRAJU GOWDA . P","BHARATIYA JANATA PARTY",421243,231480
DAHOD,"JASVANTSINH SUMANBHAI BHABHOR","BHARATIYA JANATA PARTY",511111,"TAVIYAD DR. PRABHABEN KISHORSINH","INDIAN NATIONAL CONGRESS",280757,230354
"BANGALORE NORTH","D.V SADANANDA GOWDA","BHARATIYA JANATA PARTY",718326,"C.NARAYANA SWAMY","INDIAN NATIONAL CONGRESS",488562,229764
DHUBRI,"BADRUDDIN AJMAL","ALL INDIA UNITED DEMOCRATIC FRONT",592569,"WAZED ALI CHOUDHURY","INDIAN NATIONAL CONGRESS",362839,229730
KANTHI,"ADHIKARI SISIR KUMAR","ALL INDIA TRINAMOOL CONGRESS",676749,"SINHA TAPAS","COMMUNIST PARTY OF INDIA (MARXIST)",447259,229490
SIVAGANGA,"SENTHILNATHAN PR","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",475993,"DHURAI RAAJ SUBHA","DRAVIDA MUNNETRA KAZHAGAM",246608,229385
RAJGARH,"RODMAL NAGAR","BHARATIYA JANATA PARTY",596727,"AMLABE NARAYAN SINGH","INDIAN NATIONAL CONGRESS",367990,228737
"BANGALORE SOUTH","ANANTH KUMAR","BHARATIYA JANATA PARTY",633816,"NANDAN NILEKANI","INDIAN NATIONAL CONGRESS",405241,228575
"HAJIPUR (SC)","RAMVILAS PASWAN","LOK JAN SHAKTI PARTY",455652,"SANJEEV PRASAD TONI","INDIAN NATIONAL CONGRESS",230152,225500
KALLAKURICHI,"KAMARAJ. K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",533383,"MANIMARAN. R","DRAVIDA MUNNETRA KAZHAGAM",309876,223507
KANPUR,"DR.MURLI MANOHAR JOSHI","BHARATIYA JANATA PARTY",474712,"SRIPRAKASH JAISWAL","INDIAN NATIONAL CONGRESS",251766,222946
MUZAFFARPUR,"AJAY NISHAD","BHARATIYA JANATA PARTY",469295,"AKHILESH PD SINGH","INDIAN NATIONAL CONGRESS",246873,222422
MIRZAPUR,"ANUPRIYA SINGH PATEL","APNA DAL",436536,"SAMUDRA BIND","BAHUJAN SAMAJ PARTY",217457,219079
RAIGARH,"VISHNU DEO SAI","BHARATIYA JANATA PARTY",662478,"ARTI SINGH","INDIAN NATIONAL CONGRESS",445728,216750
WARDHA,"RAMDAS CHANDRABHANJI TADAS","BHARATIYA JANATA PARTY",537518,"MEGHE SAGAR DATTATRAYA","INDIAN NATIONAL CONGRESS",321735,215783
DAMOH,"PRAHALAD SINGH PATEL","BHARATIYA JANATA PARTY",513079,"CHOUDHARY MAHENDRA PRATAP SINGH","INDIAN NATIONAL CONGRESS",299780,213299
PERAMBALUR,"MARUTHARAJAA R.P.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",462693,"SEEMANUR PRABU S.","DRAVIDA MUNNETRA KAZHAGAM",249645,213048
BARABANKI,"PRIYANKA SINGH RAWAT","BHARATIYA JANATA PARTY",454214,"P. L. PUNIA","INDIAN NATIONAL CONGRESS",242336,211878
SANGRUR,"BHAGWANT MANN","AAM AADMI PARTY",533237,"SUKHDEV SINGH DHINDSA","SHIROMANI AKALI DAL",321516,211721
ERODE,"SELVAKUMARA CHINNAYAN S","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",466995,GANESHAMURTHI.A,"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM",255432,211563
BAGHPAT,"DR. SATYA PAL SINGH","BHARATIYA JANATA PARTY",423475,"GHULAM MOHAMMED","SAMAJWADI PARTY",213609,209866
AHMADNAGAR,"GANDHI DILIPKUMAR MANSUKHLAL","BHARATIYA JANATA PARTY",605185,"RAJEEV APPASAHEB RAJALE","NATIONALIST CONGRESS PARTY",396063,209122
KENDRAPARA,"BAIJAYANT PANDA","BIJU JANATA DAL",601574,"DHARANIDHAR NAYAK","INDIAN NATIONAL CONGRESS",392466,209108
MAHESANA,"PATEL JAYSHREEBEN KANUBHAI","BHARATIYA JANATA PARTY",580250,"PATEL JIVABHAI AMBALAL","INDIAN NATIONAL CONGRESS",371359,208891
TIKAMGARH,"DR. VIRENDRA KUMAR","BHARATIYA JANATA PARTY",422979,"AHIRWAR DR. KAMLESH VERMA","INDIAN NATIONAL CONGRESS",214248,208731
JABALPUR,"RAKESH SINGH","BHARATIYA JANATA PARTY",564609,"VIVEK KRISHNA TANKHA","INDIAN NATIONAL CONGRESS",355970,208639
VALSAD,"DR. K.C.PATEL","BHARATIYA JANATA PARTY",617772,"KISHANBHAI VESTABHAI PATEL","INDIAN NATIONAL CONGRESS",409768,208004
JALNA,"DANVE RAOSAHEB DADARAO","BHARATIYA JANATA PARTY",591428,"AUTADE VILAS KESHAVRAO","INDIAN NATIONAL CONGRESS",384630,206798
BARRACKPORE,"DINESH TRIVEDI","ALL INDIA TRINAMOOL CONGRESS",479206,"SUBHASHINI ALI","COMMUNIST PARTY OF INDIA (MARXIST)",272433,206773
KRISHNAGIRI,"ASHOK KUMAR.K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",480491,"CHINNA PILLAPPA.P","DRAVIDA MUNNETRA KAZHAGAM",273900,206591
BIJNOR,"KUNWAR BHARTENDRA","BHARATIYA JANATA PARTY",486913,"SHAHNAWAZ RANA","SAMAJWADI PARTY",281139,205774
KARIMNAGAR,"VINOD KUMAR BOINAPALLY","TELANGANA RASHTRA SAMITHI",505783,"PONNAM PRABHAKAR","INDIAN NATIONAL CONGRESS",300706,205077
CUDDALORE,ARUNMOZHITHEVAN.A,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",481429,NANDAGOPALAKRISHNAN.K.,"DRAVIDA MUNNETRA KAZHAGAM",278304,203125
AKOLA,"DHOTRE SANJAY SHAMRAO","BHARATIYA JANATA PARTY",456472,"PATEL HIDAYAT ULLA BARKAT ULLA","INDIAN NATIONAL CONGRESS",253356,203116
SURENDRANAGAR,"FATEPARA DEVAJIBHAI GOVINDBHAI","BHARATIYA JANATA PARTY",529003,"KOLI PATEL SOMABHAI GANDALAL","INDIAN NATIONAL CONGRESS",326096,202907
HYDERABAD,"ASADUDDIN OWAISI","ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN",513868,"DR.BHAGAVANTH RAO","BHARATIYA JANATA PARTY",311414,202454
BANASKANTHA,"CHAUDHARY HARIBHAI PARTHIBHAI","BHARATIYA JANATA PARTY",507856,"PATEL JOITABHAI KASNABHAI","INDIAN NATIONAL CONGRESS",305522,202334
RANAGHAT,"TAPAS MANDAL","ALL INDIA TRINAMOOL CONGRESS",590451,"ARCHANA BISWAS","COMMUNIST PARTY OF INDIA (MARXIST)",388684,201767
